6a	8a	B1	B13	B14	B17	B18	B2	B5	B6
ENSG00000006007	1437	1039	655	1066	1138	1181	702	1055	736	880
ENSG00000006015	80	78	131	84	128	182	149	191	150	165
ENSG00000006016	0	6	1	43	2	0	0	18	0	0
ENSG00000006025	427	189	363	355	724	473	489	498	519	254
ENSG00000006042	1	20	8	28	3	20	4	20	0	3
ENSG00000006062	885	550	431	508	875	696	918	874	571	705
ENSG00000006118	0	2	0	9	4	2	0	0	0	0
ENSG00000006125	7490	3516	3173	3666	6279	4669	3329	5908	4093	3648
ENSG00000006194	237	205	176	213	406	280	249	209	214	324
ENSG00000006210	3	2	0	0	11	5	44	36	0	6
ENSG00000006282	310	243	240	118	391	349	350	416	192	205
ENSG00000006283	1	3	1	0	0	0	3	0	0	1
ENSG00000006327	46	26	45	48	31	43	34	61	43	19
ENSG00000006432	380	246	203	195	223	375	313	220	409	325
ENSG00000006451	513	321	327	477	602	459	340	543	175	539
ENSG00000006453	15	36	15	40	72	11	62	51	18	32
ENSG00000006459	1217	1124	766	542	1194	1608	724	874	1119	1659
ENSG00000006468	19	50	189	18	95	17	6	90	35	48
ENSG00000006530	205	268	330	196	318	386	341	292	182	330
ENSG00000006534	32	24	30	128	15	46	21	12	54	27
ENSG00000006555	63	67	22	36	147	67	189	125	53	64
ENSG00000006576	452	1768	708	280	1627	817	928	1117	390	1016
ENSG00000006607	307	238	223	304	388	330	297	316	300	440
ENSG00000006625	40	46	16	28	67	56	63	96	19	60
ENSG00000006634	498	388	309	305	377	392	296	338	238	375
ENSG00000006638	1	4	0	1	10	3	2	0	17	2
ENSG00000006652	1027	1225	869	599	1113	908	1197	1835	1177	1183
ENSG00000006695	199	185	164	230	480	255	241	396	150	418
ENSG00000006704	31	21	5	2	47	39	23	32	61	21
ENSG00000006712	3050	1345	1745	2126	1977	2609	1334	1753	2620	2615
ENSG00000006715	211	411	511	399	337	533	347	420	360	436
ENSG00000006740	0	7	1	1	11	24	5	1	4	1
ENSG00000006744	404	289	282	264	435	444	405	350	311	391
ENSG00000006747	12	36	60	16	13	4	9	127	7	12
ENSG00000006756	47	35	109	98	84	157	96	68	78	91
ENSG00000006757	39	9	38	6	64	33	130	97	65	111
ENSG00000006831	1525	741	1354	1123	1240	1473	708	1273	1487	965
ENSG00000006837	0	18	4	16	11	13	8	8	21	10
ENSG00000007001	0	1	0	0	1	0	2	1	0	0
ENSG00000007038	8	8	3	1	7	6	9	13	10	3
ENSG00000007047	274	254	255	207	328	369	393	381	196	293
ENSG00000007062	2	1	4	8	1	0	0	1	52	0
ENSG00000007080	95	65	64	89	168	82	144	128	93	135
ENSG00000007129	97	104	36	66	325	115	176	163	41	103
ENSG00000007168	1845	1470	2062	1497	1789	1915	1262	1778	1687	1615
ENSG00000007171	0	0	1	0	0	0	7	0	3	7
ENSG00000007174	73	1	0	0	1	13	0	1	78	1
ENSG00000007202	1659	1021	1825	1464	2154	2110	1909	1490	1298	1458
ENSG00000007237	311	28	307	413	140	308	45	164	150	47
ENSG00000007255	105	52	64	33	105	113	120	83	111	131
ENSG00000007264	274	72	292	144	106	243	94	135	273	110
ENSG00000007312	8	82	25	34	170	63	191	263	24	138
ENSG00000007314	0	0	1	0	1	0	0	2	46	1
ENSG00000007341	89	108	99	43	101	64	127	81	175	156
ENSG00000007350	53	86	95	109	26	87	44	54	45	65
ENSG00000007372	0	0	3	0	6	0	0	2	0	3
ENSG00000007376	69	46	56	62	54	50	22	73	63	62
ENSG00000007384	4	2	0	7	3	2	16	9	0	0
ENSG00000007392	1071	750	1059	1090	966	1473	965	1263	1293	1221
ENSG00000007402	228	55	296	78	117	253	66	72	430	99
ENSG00000007516	33	23	12	103	38	14	7	10	74	14
ENSG00000007520	113	72	113	156	178	173	138	152	109	153
ENSG00000007541	28	308	142	88	104	105	84	549	30	107
ENSG00000007545	155	175	219	103	375	301	257	703	136	420
ENSG00000007866	27	4	6	2	13	16	3	6	9	14
ENSG00000007923	150	122	169	244	343	241	233	372	169	285
ENSG00000007944	2307	1616	1268	981	1634	1562	1241	2404	1343	2004
ENSG00000007968	14	18	40	29	28	42	36	118	23	51
ENSG00000008018	982	943	1137	1085	1296	1508	875	1060	973	1366
