6a	8a	B1	B13	B14	B17	B18	B2	B5	B6
ENSG00000078900	11	8	19	12	56	10	22	151	6	29
ENSG00000078902	517	233	271	344	451	495	411	446	273	462
ENSG00000078967	263	184	183	346	221	255	94	144	235	224
ENSG00000079112	5	14	4	0	14	6	6	10	12	4
ENSG00000079134	338	394	280	298	397	291	226	328	233	297
ENSG00000079150	14	14	5	39	23	24	20	11	8	36
ENSG00000079156	21	38	13	23	106	12	48	30	5	2
ENSG00000079215	79	31	28	91	23	31	38	15	81	24
ENSG00000079246	2609	2390	2188	2184	2384	3350	2064	2381	1353	2755
ENSG00000079257	33	27	14	13	71	34	34	37	29	31
ENSG00000079263	555	729	711	542	815	794	789	897	494	553
ENSG00000079277	570	431	507	516	725	837	579	862	515	568
ENSG00000079308	88	63	3	55	22	56	34	33	22	48
ENSG00000079313	721	263	329	580	587	547	456	530	805	570
ENSG00000079332	1237	1254	957	1047	1166	1203	772	763	989	974
ENSG00000079335	1439	1761	718	793	1693	1347	1590	1298	1231	1155
ENSG00000079337	0	0	15	6	0	16	10	2	3	1
ENSG00000079385	283	591	201	156	701	98	528	438	133	228
ENSG00000079387	253	445	202	173	545	300	361	498	194	275
ENSG00000079432	583	311	632	907	725	1006	706	860	693	720
ENSG00000079435	35	39	11	17	66	19	100	83	9	72
ENSG00000079459	1020	474	827	585	667	908	851	1077	530	906
ENSG00000079462	107	62	77	20	121	118	170	174	95	118
ENSG00000079482	242	463	237	7227	315	188	286	198	219	246
ENSG00000079616	377	216	408	486	459	461	351	562	448	496
ENSG00000079691	96	115	45	66	32	140	99	100	56	77
ENSG00000079739	284	250	358	337	400	480	349	451	287	262
ENSG00000079785	318	214	398	217	251	315	238	151	224	166
ENSG00000079805	1720	2119	1885	2463	2447	2642	2704	3262	1926	2630
ENSG00000079819	186	224	241	187	145	135	83	123	175	91
ENSG00000079931	0	2	0	21	3	5	0	10	17	39
ENSG00000079950	232	314	272	630	486	306	388	371	417	412
ENSG00000079974	264	260	239	217	480	280	229	398	249	300
ENSG00000079999	266	171	266	319	222	472	251	293	209	333
ENSG00000080007	14	9	0	7	4	31	20	22	22	11
ENSG00000080031	0	6	0	0	3	0	0	1	3	0
ENSG00000080166	0	1	2	0	7	12	13	16	7	0
ENSG00000080189	342	201	246	168	218	437	392	511	316	294
ENSG00000080200	125	40	187	157	124	283	169	147	161	93
ENSG00000080298	355	239	100	338	154	97	243	308	258	246
ENSG00000080345	929	1717	932	914	1071	939	763	878	814	871
ENSG00000080371	1041	1371	1703	1918	1680	1182	951	1074	1261	1451
ENSG00000080493	70	16	83	155	53	40	31	20	54	8
ENSG00000080503	4402	3736	3227	2294	3381	4104	3558	6410	4003	3793
ENSG00000080546	217	465	186	185	576	181	519	330	124	225
ENSG00000080561	131	104	81	118	132	157	100	95	182	138
ENSG00000080573	4	8	0	6	5	22	22	34	12	55
ENSG00000080603	2296	1421	2157	2898	2313	2359	1927	2520	2030	2022
ENSG00000080608	124	117	188	228	206	130	95	171	180	237
ENSG00000080644	1	2	1	0	1	14	1	0	7	0
ENSG00000080709	22	28	19	16	13	41	47	20	12	17
ENSG00000080802	663	417	324	328	676	577	306	581	265	274
ENSG00000080815	1519	1033	740	1034	1150	1535	1096	1634	1454	1214
ENSG00000080819	79	105	116	338	325	221	127	158	141	236
ENSG00000080822	798	1370	1117	1781	3295	1254	1147	1660	1290	2368
ENSG00000080823	92	29	23	42	61	40	33	50	60	29
ENSG00000080824	18649	66632	15624	15083	82148	22885	53715	88556	11462	44228
ENSG00000080839	393	363	272	86	259	287	263	285	280	301
ENSG00000080845	690	481	689	690	1028	700	849	1347	885	852
ENSG00000080854	102	74	26	68	75	107	82	52	141	53
ENSG00000080947	15	32	59	5	43	37	19	78	43	17
ENSG00000080986	48	102	93	22	91	79	138	95	32	46
ENSG00000081014	148	193	176	159	105	178	104	189	158	112
ENSG00000081019	1166	810	744	978	841	1043	613	911	826	933
ENSG00000081026	116	118	115	83	80	176	112	72	133	72
ENSG00000081041	526	250	249	644	200	321	137	202	568	177
ENSG00000081052	0	14	0	0	1	1	2	0	0	0
ENSG00000081059	2380	2883	1784	2615	4342	3236	4658	4451	2815	4664
ENSG00000081087	522	527	490	550	599	752	479	554	483	697
ENSG00000081138	0	1	1	0	9	3	1	2	0	4
ENSG00000081148	20	12	19	6	10	11	13	6	13	13
ENSG00000081154	1711	1285	1467	769	1351	1355	657	688	746	895
ENSG00000081177	52	111	44	136	124	115	95	146	47	121
ENSG00000081181	139	88	108	80	228	71	34	84	52	144
ENSG00000081189	52	39	102	404	410	1487	40	95	660	1753
ENSG00000081237	27528	26935	30361	26181	23284	27032	14632	26791	18738	19460
ENSG00000081277	0	10	0	0	2	0	0	87	0	1
ENSG00000081307	130	79	120	94	271	141	159	215	52	96
ENSG00000081320	15671	17330	15565	10743	15558	17539	13378	16459	10020	16691
ENSG00000081377	66	71	174	190	79	57	47	99	99	108
ENSG00000081386	277	125	158	95	218	171	131	226	147	124
ENSG00000081479	0	19	0	0	0	16	38	1	0	0
ENSG00000081665	497	521	461	419	516	660	649	678	664	667
ENSG00000081692	13	45	33	79	97	84	47	41	26	27
ENSG00000081721	246	148	128	84	127	148	159	152	111	95
ENSG00000081760	206	71	126	139	177	109	141	95	151	172
ENSG00000081791	604	430	503	461	880	750	787	848	578	621
ENSG00000081870	128	174	242	198	171	235	175	270	235	212
ENSG00000081913	239	273	137	233	379	217	156	258	172	215
ENSG00000081923	7	51	2	0	2	2	7	17	5	2
ENSG00000081985	423	683	1536	735	1570	399	373	1898	202	519
ENSG00000082014	59	49	56	92	126	81	90	245	96	135
ENSG00000082068	136	109	218	206	211	303	211	225	147	338
ENSG00000082074	4758	5270	5942	3761	9562	7603	7395	11474	4336	9498
ENSG00000082126	0	0	0	0	0	1	1	1	9	0
ENSG00000082146	67	89	35	126	46	131	84	106	85	120
ENSG00000082153	3643	3519	3310	2817	2803	3867	1849	2534	2861	2159
ENSG00000082196	48	16	32	34	7	23	26	37	35	20
ENSG00000082212	827	943	721	815	1186	861	689	837	692	897
ENSG00000082213	293	191	205	168	325	314	238	457	146	170
ENSG00000082258	863	816	823	1285	885	797	601	721	718	537
ENSG00000082269	30	101	69	38	110	128	51	94	85	101
ENSG00000082293	0	3	2	0	0	7	0	6	2	2
ENSG00000082397	96	62	171	243	127	211	35	99	204	45
ENSG00000082438	140	49	397	935	390	367	57	417	215	755
ENSG00000082458	112	170	120	179	225	179	170	317	141	213
ENSG00000082482	340	151	134	540	162	137	119	92	259	173
ENSG00000082512	700	1069	632	617	1039	902	1416	1740	503	1575
ENSG00000082515	70	66	73	54	136	121	60	84	86	103
ENSG00000082516	98	56	124	114	159	128	148	183	85	75
ENSG00000082556	7	0	6	64	11	14	2	6	0	2
ENSG00000082641	602	633	593	689	863	730	661	666	427	467
ENSG00000082701	1071	808	875	669	798	1189	673	1088	729	1189
ENSG00000082781	14	10	25	40	11	11	17	67	85	5
ENSG00000082805	380	107	222	212	530	284	287	316	458	243
ENSG00000082898	656	1527	834	901	1361	1333	1323	1886	731	894
ENSG00000082996	508	318	486	852	291	585	234	380	426	368
ENSG00000083067	4	1	1	0	3	5	8	2	0	2
ENSG00000083093	263	96	176	192	366	287	387	199	224	119
ENSG00000083097	255	285	307	497	239	526	427	253	334	400
ENSG00000083099	143	142	194	107	169	144	89	85	91	229
ENSG00000083123	368	157	220	35	115	305	161	102	250	694
ENSG00000083168	6618	5377	3444	4880	4979	5892	4348	5517	3150	3335
ENSG00000083223	975	1742	1197	1175	1903	1229	771	1505	1088	1216
ENSG00000083290	63	188	222	145	234	191	263	214	72	145
ENSG00000083307	0	7	3	0	3	2	1	20	2	4
ENSG00000083312	1004	1259	951	961	1521	1544	1110	1295	658	1271
ENSG00000083444	47	46	190	120	128	84	39	122	60	109
ENSG00000083454	253	107	180	232	413	322	285	404	126	331
ENSG00000083457	966	940	1176	570	878	1008	523	771	478	714
ENSG00000083520	576	659	648	610	557	680	404	495	442	621
ENSG00000083535	23	88	69	93	175	86	32	57	52	82
ENSG00000083544	129	235	204	279	211	254	371	293	188	213
ENSG00000083635	76	54	66	78	65	89	30	52	61	66
ENSG00000083642	356	417	367	352	508	605	712	415	387	314
ENSG00000083720	724	402	535	603	513	730	353	428	398	808
ENSG00000083750	80	59	56	27	97	37	65	50	14	62
ENSG00000083799	3937	3886	3354	2961	4101	3192	2258	3615	2547	3826
ENSG00000083807	9	31	21	65	67	24	93	51	28	82
ENSG00000083812	129	50	35	85	84	43	87	90	40	65
ENSG00000083814	54	33	17	29	45	48	52	67	112	45
ENSG00000083817	49	22	26	31	66	35	26	14	17	36
ENSG00000083828	175	176	284	211	378	294	325	287	127	305
ENSG00000083838	33	49	51	36	43	69	75	96	72	65
ENSG00000083844	674	619	765	486	956	731	441	502	839	587
ENSG00000083845	8150	7094	6518	10171	10916	10970	10060	8146	8900	10626
ENSG00000083857	229	50	24	1	131	10	53	2	51	0
ENSG00000083896	1541	1432	1242	1386	1735	1683	1379	1761	1477	1532
ENSG00000083937	280	242	199	255	314	319	213	159	226	217
ENSG00000084070	4931	5845	3575	4426	7609	7865	6628	8164	3546	7534
ENSG00000084072	331	170	231	231	379	336	357	442	287	344
ENSG00000084073	319	295	363	411	288	358	134	229	392	222
ENSG00000084090	1932	2532	2001	1700	3530	2647	2111	2308	2262	2590
ENSG00000084092	330	295	316	354	326	315	288	385	277	423
ENSG00000084093	1068	976	1063	1401	1469	1666	502	1106	538	1145
ENSG00000084110	23	28	75	56	11	19	58	3	19	9
ENSG00000084112	1520	2436	1315	1674	3675	1774	2156	2912	1625	3171
ENSG00000084207	364	319	877	714	403	670	476	650	733	675
ENSG00000084234	2199	1478	1690	2433	2372	2668	1696	1784	2678	1737
ENSG00000084444	75	23	61	33	22	38	27	37	28	18
ENSG00000084453	7	4	5	2	4	0	1	1	8	7
ENSG00000084463	2937	2318	2022	2207	2467	2699	1530	2121	1912	2233
ENSG00000084623	1250	1098	1106	1398	1346	1519	976	1506	1016	1552
ENSG00000084652	450	375	473	605	973	621	479	632	466	508
ENSG00000084676	2030	2345	1856	1756	2816	2341	2098	3137	1746	2367
ENSG00000084693	156	109	102	65	103	111	147	176	178	113
ENSG00000084710	12	13	10	12	17	14	4	10	12	7
ENSG00000084731	259	69	87	444	133	312	95	184	135	67
ENSG00000084733	942	915	1018	1042	912	1158	695	1345	859	935
ENSG00000084754	1043	916	1397	1801	1638	1983	1421	1416	1525	1595
ENSG00000084764	108	26	24	88	50	93	35	74	87	35
ENSG00000084774	158	160	175	178	374	237	379	260	85	204
ENSG00000085063	649	802	486	734	1111	1088	595	671	781	771
ENSG00000085117	423	515	356	276	919	502	842	638	553	856
ENSG00000085185	322	113	273	537	287	311	189	229	434	190
ENSG00000085224	1065	1586	719	3574	1712	906	2545	850	1149	1153
ENSG00000085231	62	92	63	99	45	58	20	38	58	37
ENSG00000085265	80	17	344	109	22	192	18	45	170	37
ENSG00000085274	208	452	315	279	318	311	183	367	229	242
ENSG00000085276	0	14	7	1	8	3	7	12	15	1
ENSG00000085365	183	155	269	276	232	400	165	445	217	187
ENSG00000085377	483	360	563	469	481	518	436	585	454	308
ENSG00000085382	100	124	171	86	177	144	146	111	148	113
ENSG00000085415	115	209	189	104	177	296	154	239	234	278
ENSG00000085433	1389	955	1070	858	676	1309	450	536	902	685
ENSG00000085449	710	502	832	299	655	1534	929	424	442	369
ENSG00000085465	45	42	74	62	75	65	155	75	48	100
ENSG00000085491	322	247	367	320	220	429	187	213	282	188
ENSG00000085511	782	807	326	274	645	738	684	354	579	417
ENSG00000085514	97	24	107	224	56	88	27	30	222	53
ENSG00000085552	1	0	0	0	1	0	3	5	1	0
ENSG00000085563	150	204	356	127	231	245	168	123	49	85
ENSG00000085644	20	9	30	33	48	29	38	44	38	32
ENSG00000085662	855	375	599	646	789	763	594	592	824	627
ENSG00000085719	1406	1152	2202	1262	2472	2242	1376	2746	1524	1887
ENSG00000085721	808	691	584	614	701	758	421	739	575	461
ENSG00000085733	7	19	0	0	37	10	65	43	0	30
ENSG00000085741	4	2	3	4	5	6	3	15	10	2
ENSG00000085760	49	45	92	23	76	113	114	171	125	163
ENSG00000085788	610	559	489	588	622	628	755	557	417	457
ENSG00000085831	19	35	69	250	82	132	16	29	232	103
ENSG00000085832	2228	2629	2517	1811	3099	2316	1882	2786	1670	2534
ENSG00000085840	54	44	48	38	30	54	66	70	66	36
ENSG00000085871	63	43	78	181	146	136	113	99	86	181
ENSG00000085872	776	501	518	558	753	782	654	813	806	730
ENSG00000085978	863	645	806	444	668	710	578	642	597	602
ENSG00000085982	114	47	54	200	117	96	144	174	32	92
ENSG00000085998	119	149	133	319	333	276	410	370	359	389
ENSG00000085999	14	2	4	0	21	16	15	37	14	16
ENSG00000086015	242	67	149	173	142	189	189	170	77	178
ENSG00000086061	3678	5461	4266	3213	6020	3413	3735	7305	3248	4795
ENSG00000086062	9003	4880	7804	11775	9113	11681	4942	5381	8347	6277
ENSG00000086065	104	183	132	127	260	234	187	263	125	208
ENSG00000086102	328	545	359	605	1120	658	572	688	593	790
ENSG00000086159	0	2	2	0	0	0	2	7	0	0
ENSG00000086189	268	277	283	287	305	328	179	234	141	254
ENSG00000086200	80	161	82	141	76	250	87	203	53	136
ENSG00000086232	816	1122	942	1258	1303	1217	1109	1160	671	1202
ENSG00000086288	30	18	43	75	51	63	0	21	53	89
ENSG00000086289	7	0	13	18	10	15	7	46	12	1
ENSG00000086300	389	236	362	432	321	337	329	194	477	342
ENSG00000086475	444	354	460	1288	693	567	468	436	455	869
ENSG00000086504	142	72	85	125	122	108	95	169	118	124
ENSG00000086544	65	40	43	48	50	49	59	44	31	75
ENSG00000086548	26	127	8	16	7	57	576	0	12	1
ENSG00000086570	0	0	0	0	6	0	2	11	0	3
ENSG00000086589	1620	1615	1054	1130	1957	1598	1250	1793	1209	1522
ENSG00000086598	1858	1206	1950	2229	1398	2394	985	1414	1251	1484
ENSG00000086619	377	438	434	405	338	688	278	301	408	318
ENSG00000086666	335	478	434	494	439	445	263	363	401	332
ENSG00000086696	24	69	30	13	31	19	18	32	28	31
ENSG00000086712	745	554	1118	818	709	808	421	739	1042	931
ENSG00000086717	0	2	6	0	0	8	1	0	0	0
ENSG00000086730	192	98	134	103	144	194	78	176	102	79
ENSG00000086758	6296	5382	5303	4095	6139	5918	5724	6440	4623	4828
ENSG00000086827	152	147	198	209	209	201	147	175	203	194
ENSG00000086848	310	255	163	271	209	227	283	210	333	196
ENSG00000086967	5	1	6	0	0	7	11	0	10	5
ENSG00000087008	219	133	128	547	377	280	196	371	151	170
ENSG00000087053	349	301	358	288	607	292	409	524	262	373
ENSG00000087074	9678	4632	3032	3500	4977	4766	9280	9536	5141	6224
ENSG00000087076	6	1	4	2	14	3	4	6	14	3
ENSG00000087077	34	55	19	58	62	47	58	47	45	31
ENSG00000087085	33	20	10	3	11	20	4	18	18	12
ENSG00000087086	17339	9623	13289	25983	17687	15335	10258	14072	22496	14278
ENSG00000087087	2933	891	2178	2516	2064	2833	1859	2187	2452	1823
ENSG00000087088	454	514	541	512	930	547	742	926	508	715
ENSG00000087095	153	91	301	135	168	159	120	176	118	124
ENSG00000087111	258	278	223	362	560	504	444	544	240	492
ENSG00000087152	641	721	714	995	829	862	547	792	626	928
ENSG00000087157	214	249	182	138	397	224	329	508	217	250
ENSG00000087191	861	452	683	676	691	976	502	864	775	745
ENSG00000087206	181	289	290	336	478	318	317	456	184	279
ENSG00000087237	0	2	4	5	5	3	1	1	5	6
ENSG00000087245	21	24	13	98	15	9	5	13	132	26
ENSG00000087253	218	167	40	277	79	164	51	69	186	102
ENSG00000087258	506	279	221	481	207	388	225	256	366	147
ENSG00000087263	297	299	446	251	532	467	281	537	410	215
ENSG00000087266	384	219	802	633	556	814	817	1183	669	693
ENSG00000087269	572	343	470	742	600	759	398	574	702	599
ENSG00000087274	2665	1541	2096	1952	3352	2814	2530	2819	2619	2824
ENSG00000087299	197	153	100	136	192	194	91	115	100	127
ENSG00000087301	76	78	104	252	193	149	54	61	106	72
ENSG00000087302	1051	1164	1034	813	1441	1203	938	1083	856	1182
ENSG00000087303	3	9	3	0	4	39	1	0	3	2
ENSG00000087338	349	341	229	480	258	183	187	270	124	254
ENSG00000087365	2515	1206	1602	2240	3074	2660	1965	1664	2131	2236
ENSG00000087448	186	81	169	156	335	136	280	192	223	212
ENSG00000087460	26320	12291	14602	16388	23956	23297	17400	22255	17720	21966
ENSG00000087470	826	652	550	675	772	873	431	676	638	574
ENSG00000087494	0	5	1	0	22	0	2	17	0	12
ENSG00000087495	0	1	5	0	2	0	0	0	0	1
ENSG00000087502	50	282	189	109	547	297	329	548	222	216
ENSG00000087510	7	0	0	0	2	2	7	2	0	2
ENSG00000087586	85	53	112	87	96	131	93	114	102	127
ENSG00000087589	894	401	1303	434	470	731	452	753	363	378
ENSG00000087842	4	5	4	4	7	6	7	12	2	4
ENSG00000087884	12	20	12	14	16	10	12	4	8	7
ENSG00000087903	324	158	114	160	198	201	105	127	176	112
ENSG00000087995	88	85	95	214	170	129	79	141	68	173
ENSG00000088002	0	12	0	0	3	4	2	2	9	4
ENSG00000088035	124	249	210	257	120	227	360	269	200	342
ENSG00000088038	612	336	504	603	833	914	542	962	520	716
ENSG00000088053	6	7	1	0	0	0	0	0	0	2
ENSG00000088179	1002	785	891	1184	937	1185	833	1004	1019	762
ENSG00000088205	1314	1157	1458	1599	1264	1667	838	1023	1322	1169
ENSG00000088247	905	691	992	983	1363	1096	834	1365	876	1042
ENSG00000088256	35	18	18	191	92	29	17	49	59	84
ENSG00000088280	2	7	18	9	8	14	9	17	1	28
ENSG00000088298	170	149	173	204	325	239	247	305	182	225
ENSG00000088305	18	4	3	9	6	14	7	11	5	2
ENSG00000088325	79	130	55	61	198	76	112	271	26	119
ENSG00000088340	29	30	9	17	26	12	34	27	6	27
ENSG00000088356	74	54	78	84	90	101	71	76	81	109
ENSG00000088367	120	84	45	247	124	48	70	29	61	104
ENSG00000088386	7	4	6	0	5	4	1	2	0	6
ENSG00000088387	1081	1195	1128	1365	1138	1323	989	1094	915	1129
ENSG00000088448	676	1566	1020	2085	1824	1135	1020	2651	304	1885
ENSG00000088451	18	19	37	68	66	51	46	15	17	28
ENSG00000088538	27	19	38	55	38	31	17	27	31	19
ENSG00000088543	30	55	28	44	36	39	34	75	104	55
ENSG00000088682	78	111	59	138	188	130	168	222	86	143
ENSG00000088726	1	0	1	0	0	0	5	8	0	1
ENSG00000088727	93	51	15	32	10	54	36	16	41	35
ENSG00000088756	15	21	32	17	12	10	8	24	22	13
ENSG00000088766	179	166	157	265	174	232	129	137	133	187
ENSG00000088808	504	178	248	516	280	292	160	210	444	350
ENSG00000088812	321	364	409	391	465	463	369	456	301	353
ENSG00000088826	40	27	17	56	152	49	34	68	55	28
ENSG00000088827	104	48	76	166	63	125	29	25	122	51
ENSG00000088832	2005	1148	1389	1397	2456	1844	1521	1947	1750	2329
ENSG00000088833	470	221	262	534	401	396	341	468	501	319
ENSG00000088836	44	1	52	18	12	22	11	25	8	20
ENSG00000088854	165	132	148	224	164	230	228	158	185	154
ENSG00000088876	54	57	19	95	27	65	25	81	28	34
ENSG00000088881	10	4	9	29	21	5	10	15	48	23
ENSG00000088882	0	5	0	0	9	12	26	7	4	7
ENSG00000088888	410	424	574	570	872	652	836	878	567	718
ENSG00000088899	46	39	16	34	35	33	43	31	34	42
ENSG00000088930	1006	786	1455	1212	1380	1534	738	1317	1021	1412
ENSG00000088970	181	156	280	275	257	417	388	261	275	246
ENSG00000088986	1090	790	1015	1002	1140	1181	760	1160	1030	923
ENSG00000088992	248	183	236	140	96	200	98	173	146	59
ENSG00000089006	1317	1210	1283	901	1852	1494	1711	2045	929	1900
ENSG00000089009	14102	8583	11845	13706	13431	16273	9570	11314	12578	14754
ENSG00000089012	304	653	54	98	1294	314	1213	1605	181	1235
ENSG00000089022	534	297	448	492	555	676	507	491	500	595
ENSG00000089041	235	295	141	320	391	174	180	245	260	203
ENSG00000089048	82	30	41	26	55	28	21	41	16	25
ENSG00000089050	230	219	219	226	366	405	265	245	250	200
ENSG00000089053	1071	931	1101	1289	1716	1728	1311	1432	1368	1534
ENSG00000089057	628	694	465	441	721	633	592	742	447	679
ENSG00000089060	217	196	203	677	457	308	198	473	483	371
ENSG00000089063	1679	1393	1395	1520	2433	1668	1696	2372	1148	1789
ENSG00000089091	66	14	26	95	131	58	14	122	48	42
ENSG00000089094	1505	1278	959	986	1168	1419	1654	1422	1355	1166
ENSG00000089101	5	5	5	10	6	0	1	0	6	2
ENSG00000089123	23	34	39	51	47	45	27	24	21	45
ENSG00000089127	153	182	228	314	366	210	242	328	108	275
ENSG00000089154	717	933	569	578	1062	799	590	800	916	696
ENSG00000089157	32338	36091	31161	41916	38582	41628	32477	35043	33648	41229
ENSG00000089159	3998	981	2855	2638	1768	3555	1964	1423	3681	2020
ENSG00000089163	0	1	0	6	11	0	1	9	6	2
ENSG00000089169	8	8	2	6	6	16	7	2	12	3
ENSG00000089177	62	115	47	87	58	155	202	65	68	174
ENSG00000089195	297	145	171	183	129	161	91	75	119	147
ENSG00000089199	23	61	3	12	80	22	10	14	32	138
ENSG00000089220	1683	1195	1181	1463	1694	1513	1517	1697	1086	1515
ENSG00000089234	311	290	281	382	496	459	250	366	298	322
ENSG00000089248	561	388	640	875	728	823	584	664	787	913
ENSG00000089250	7	2	4	1	0	6	2	4	2	1
ENSG00000089280	2539	1873	2194	2671	2233	2645	1761	2080	2929	2447
ENSG00000089289	1069	782	1156	1005	1389	1260	1161	1242	1125	1592
ENSG00000089327	4865	2427	3168	4105	6796	6606	5448	4744	4603	5854
ENSG00000089335	77	94	74	20	12	59	38	28	35	18
ENSG00000089351	911	729	728	745	1915	1042	1505	2395	1011	1556
ENSG00000089356	6	10	3	0	10	6	5	9	3	1
ENSG00000089486	452	189	318	355	696	427	402	595	418	427
ENSG00000089505	14	34	20	14	59	19	69	79	9	28
ENSG00000089558	20	27	5	0	40	13	81	56	1	19
ENSG00000089597	2013	1371	1790	2007	2341	2397	2464	3050	1842	2466
ENSG00000089639	854	560	575	468	982	1216	970	1221	758	835
ENSG00000089682	113	90	46	59	95	51	41	96	80	54
ENSG00000089685	11	15	29	25	32	7	32	89	3	44
ENSG00000089692	282	232	571	536	1261	706	647	824	795	1178
ENSG00000089693	470	522	542	787	774	576	627	879	520	580
ENSG00000089723	25	33	24	11	18	14	9	33	4	14
ENSG00000089737	4943	3106	4634	4553	4264	4239	3146	4532	4611	4594
ENSG00000089775	855	1385	972	713	1478	1245	2101	1755	841	1826
ENSG00000089818	910	995	549	552	1047	790	981	1227	557	660
ENSG00000089820	1948	1065	1005	1733	1610	1545	1635	1940	1353	1339
ENSG00000089847	0	0	0	0	3	3	8	9	6	2
ENSG00000089876	11	25	42	42	24	59	61	93	15	92
ENSG00000089902	2433	874	1741	2196	1325	2816	918	1442	1858	1547
ENSG00000089916	1194	989	722	709	1173	902	752	955	731	991
ENSG00000090006	587	353	680	763	695	780	790	700	1339	848
ENSG00000090013	98	59	58	68	58	99	86	108	139	84
ENSG00000090020	602	266	520	762	711	876	582	662	772	514
ENSG00000090054	558	427	563	582	606	588	434	420	367	459
ENSG00000090060	2275	1987	2096	2670	2215	2450	1446	1426	2001	1547
ENSG00000090061	2296	1422	1470	1379	1918	1839	1455	1621	1265	1718
ENSG00000090097	200	99	148	267	231	199	184	151	107	117
ENSG00000090104	25179	29175	11218	14345	17622	14558	16021	27742	7896	21439
ENSG00000090238	979	503	480	492	1128	836	1403	1454	861	1086
ENSG00000090263	160	243	159	239	291	211	182	173	155	277
ENSG00000090266	614	498	569	529	715	814	502	471	703	770
ENSG00000090273	285	293	266	353	1253	393	594	786	286	600
ENSG00000090316	1230	1062	900	1223	1265	1569	1214	991	1159	862
ENSG00000090339	1046	632	850	1035	967	821	858	1216	1283	887
ENSG00000090372	459	272	327	508	491	480	439	624	518	612
ENSG00000090376	47	36	135	136	91	44	99	118	106	76
ENSG00000090382	4086	1339	4334	6361	1815	3656	1032	1762	4674	1793
ENSG00000090432	265	113	128	201	210	171	119	165	145	176
ENSG00000090447	42	29	26	27	76	27	49	48	29	44
ENSG00000090470	119	78	247	411	110	366	169	224	249	221
ENSG00000090487	998	590	1121	891	1026	1534	1000	1104	1160	1336
ENSG00000090520	741	571	542	731	858	851	411	686	494	522
ENSG00000090530	16	5	32	312	79	98	20	98	24	113
ENSG00000090554	573	251	429	438	672	543	859	570	842	636
ENSG00000090565	217	169	282	207	216	262	121	241	388	263
ENSG00000090581	457	250	251	340	414	277	303	398	426	379
ENSG00000090612	142	146	76	215	192	207	69	142	98	79
ENSG00000090615	1141	702	713	560	1176	1554	847	743	569	847
ENSG00000090621	2664	1094	1768	2767	1976	2675	1811	1472	2578	2573
ENSG00000090659	60	24	30	99	33	34	28	16	85	21
ENSG00000090661	185	128	116	135	167	129	202	215	209	197
ENSG00000090674	97	59	168	390	366	150	102	208	236	196
ENSG00000090686	902	1406	800	666	1250	998	703	1171	638	1073
ENSG00000090776	68	39	52	71	125	126	81	100	104	103
ENSG00000090857	1301	792	681	1168	1606	1083	933	869	858	973
ENSG00000090861	257	217	203	388	631	292	340	391	223	488
ENSG00000090863	1981	1789	1946	2223	2599	2845	2376	2279	2364	2456
ENSG00000090889	60	15	7	10	44	14	13	46	14	11
ENSG00000090905	794	1334	434	1103	1386	1438	1025	1420	718	730
ENSG00000090924	2927	1041	1946	2412	3496	3180	2276	3705	1665	2577
ENSG00000090932	6	0	0	1	0	0	2	0	0	1
ENSG00000090971	12	4	2	0	18	25	2	36	21	29
ENSG00000090975	76	114	42	112	241	128	252	309	160	316
ENSG00000090989	98	281	164	346	343	204	215	279	145	235
ENSG00000091009	1164	839	838	864	928	955	624	771	794	809
ENSG00000091010	0	0	3	0	0	8	5	2	1	2
ENSG00000091039	2989	2397	1899	1710	2606	2876	1588	1770	1555	1095
ENSG00000091073	122	133	176	180	247	183	107	167	200	102
ENSG00000091106	9	11	26	40	5	32	4	7	46	2
ENSG00000091127	76	39	118	101	103	99	40	82	230	71
ENSG00000091128	0	2	0	0	0	0	1	1	1	0
ENSG00000091129	0	4	0	0	0	2	0	38	0	3
ENSG00000091136	12	0	0	5	0	4	7	9	0	0
ENSG00000091137	0	1	1	1	0	5	2	16	2	2
ENSG00000091140	302	425	333	403	302	391	167	290	224	405
ENSG00000091157	348	582	377	209	679	569	366	678	938	229
ENSG00000091164	470	679	544	613	584	569	475	539	336	622
ENSG00000091181	233	37	159	124	30	43	17	47	186	34
ENSG00000091262	4	5	21	15	9	0	3	4	0	1
ENSG00000091317	1937	991	1671	1063	2386	2295	1735	1707	920	1343
ENSG00000091409	490	427	706	917	454	659	368	335	686	642
ENSG00000091428	0	6	0	4	0	1	1	7	2	0
ENSG00000091436	503	75	198	127	166	137	183	61	112	42
ENSG00000091483	243	59	159	139	163	261	166	145	177	115
ENSG00000091490	2254	2083	2827	4176	3396	3486	2099	2918	2054	3079
ENSG00000091513	39	24	30	5	25	18	51	27	23	244
ENSG00000091527	4431	4473	3660	5028	4938	4651	3108	3679	3431	4722
ENSG00000091536	22	20	3	18	17	2	11	5	19	6
ENSG00000091542	2256	945	1188	1425	1539	1568	1090	1435	1465	1427
ENSG00000091583	3	3	0	5	3	2	21	3	0	0
ENSG00000091592	1776	1499	1037	1477	1860	2097	2260	3487	1612	1578
ENSG00000091622	6	13	5	15	10	8	30	9	13	7
ENSG00000091640	206	118	163	137	226	230	212	176	182	198
ENSG00000091651	58	84	65	27	47	39	41	48	64	56
ENSG00000091732	66	98	65	106	80	165	71	126	130	203
ENSG00000091831	15	76	2	57	190	23	69	55	32	14
